genre,count
trival,2
relaxative,2
orchestral performance,7
austrian choir,1
"""childrens choir""",2
choral,4
"""punk n roll""",9
gothic rock,2
pinoy r&b,4
pinoy trap,2
progressive jazz fusion,2
ambeat,6
missouri indie,3
montreal indie,13
bedroom soul,3
korean indie folk,5
euro hi-nrg,2
pinoy alternative rap,1
tagalog rap,1
english indie rock,7
nouvelle chanson francaise,6
samba-jazz,5
north east england indie,2
new hampshire indie,1
texas metal,3
twee pop,11
cologne indie,1
musica indigena latinoamericana,1
nuevo folklore mexicano,1
oaxaca indie,1
latin surf rock,1
cdmx indie,2
indian electronic,1
indian fusion,2
indian indie,2
indian rock,1
new delhi indie,1
portuguese indie rock,1
portuguese rock,1
corrosion,1
western mass indie,1
fado antigo,1
fado de coimbra,1
elephant 6,6
gospel soul,1
spirituals,3
traditional soul,1
indian jazz,1
raga rock,1
sitar,1
swedish psychedelic rock,3
psychedelic doom,4
indie shoegaze,1
malian blues,1
musique touareg,1
tuareg guitar,1
western saharan folk,1
vintage french psychedelic,1
canadian psychedelic rock,4
psych gaze,2
college a cappella,7
nice indie,2
bath indie,3
kc indie,8
weirdcore,11
american shoegaze,1
indie quebecois,8
queer country,3
norwegian folk rock,1
cape town indie,4
folk brasileiro,1
funk carioca,6
samba reggae,5
progressive metalcore,4
porro,4
jazz puertorriqueno,2
classic venezuelan pop,1
gaita zuliana,1
musica llanera,1
villancicos,1
salsa choke,2
float house,7
deep idm,1
arkansas indie,2
baltimore hip hop,3
early avant garde,3
impressionism,7
baroque,19
early music,20
german baroque,19
german orchestra,1
classical era,15
lexington ky indie,1
nl folk,1
gothic americana,1
brazilian reggae,1
carimbo,1
musica popular paraense,1
capoeira,2
bloco,1
chinese traditional,1
sertanejo,3
sertanejo pop,3
sertanejo universitario,3
brazilian percussion,4
musica maranhense,1
pagode novo,1
partido alto,2
samba-enredo,2
experimental folk,2
asheville indie,7
diy emo,2
midwest emo,17
north carolina emo,1
knoxville indie,2
german hip hop,3
pittsburgh indie,7
new comedy,7
comedienne,3
deep comedy,6
progressive uplifting trance,1
jazz cubano,15
stride,17
jazz double bass,2
german jazz,2
jazz drums,4
background jazz,2
barrelhouse piano,1
jazz vibraphone,2
mallet,1
straight-ahead jazz,3
free improvisation,6
jazz orchestra,1
saxophone trio,1
classical trumpet,1
jazz trombone,3
beninese pop,1
modern jazz trio,1
oc rap,6
welsh metal,44
brutal deathcore,1
progressive deathcore,1
brutal death metal,2
death metal,4
dutch death metal,1
dutch metal,8
virginia metal,12
slow game,7
scottish hip hop,7
alternative ccm,5
partyschlager,1
voetbal,1
groove room,2
norwegian house,1
post-post-hardcore,15
melodic metal,15
vancouver metal,15
hong kong indie,1
minecraft,5
eurovision,10
progressive sludge,6
sludge metal,9
israeli indie,1
faroese pop,1
alternative roots rock,5
irish indie rock,2
leipzig electronic,1
radio symphony,14
british orchestra,11
hungarian classical performance,3
balkan classical piano,3
czech classical piano,1
american modern classical,11
neoclassicism,4
caucasian classical,1
early romantic era,14
polish classical,10
german romanticism,4
german classical piano,1
milwaukee hip hop,2
philly drill,1
deep freestyle,1
deep progressive trance,1
fort worth indie,1
vermont indie,1
gamecore,2
deep big room,1
tin pan alley,1
hardcore,1
straight edge,1
dc hardcore,3
california hardcore,1
oi,1
uk82,1
canadian classical,2
canadian soundtrack,38
american contemporary classical,15
contemporary classical,7
minimalism,6
french soundtrack,4
jewish pop,80
israeli hip hop,35
judaica,22
jewish a capella,10
chabad niggunim,1
nordic house,3
afrofuturismo brasileiro,2
tassie indie,1
lo-fi house,2
medway sound,1
dallas indie,3
east coast reggae,27
west coast reggae,26
chopped and screwed,10
dirty texas rap,1
footwork,2
minimal dnb,1
afro house,2
newcastle indie,5
uk pop punk,1
italian metalcore,1
swedish metalcore,1
canadian post-hardcore,4
hard alternative,7
neo-industrial rock,1
solipsynthm,1
christian metalcore,24
ukrainian electronic,1
christian hard rock,4
hardstyle,4
xtra raw,2
gabba,1
uptempo hardcore,1
serbian electronic,1
deathstep,1
french dnb,1
jump up,2
cleveland metal,2
nederlandse hardstyle,1
san antonio indie,1
boogie,1
classic colombian pop,6
folclor afrocolombiano,1
cumbia funk,2
folclor colombiano,1
post-minimalism,7
experimental classical,1
classical piano,1
french classical piano,1
nu age,1
korean instrumental,1
re:techno,1
covertrance,1
bass trip,1
georgian pop,1
anime lo-fi,1
nashville hip hop,17
tex-mex,28
chilean indie,1
chilean rock,3
rap chileno,2
romanian house,4
jacksonville indie,5
drift,1
focus,1
deep indie singer-songwriter,2
lund indie,1
nordic shoegaze,1
kaneka,6
experimental indie rock,1
kentucky indie,3
merengue tipico,2
chilena,1
bc underground hip hop,2
african reggae,6
swedish reggae,1
arab trap,2
indiana hip hop,2
michigan folk,2
disney piano,1
vintage broadway,2
electro trash,1
kansas indie,1
lawrence ks indie,1
psicodelia brasileira,1
swedish hip hop,2
danish indie,1
nerdcore,1
sasscore,1
experimental jazz,1
indie singer-songwriter,2
maine indie,1
shibuya-kei,1
reading indie,1
vaporwave,13
denver indie,3
ai,3
swedish dancehall,4
texas punk,1
melodic death metal,2
steampunk,2
melodic groove metal,1
progressive groove metal,4
welsh indie,4
strut,3
russian indie,1
russian punk,1
new england emo,17
southern americana,2
techno,1
dutch americana,2
new orleans americana,1
reggaeton mexicano,1
american choir,1
english baroque,4
cantopop,7
indie catala,1
mestissatge,1
musica catalana,1
rock catala,1
taiwan idol pop,1
anime,1
mongolian pop,1
popwave,3
cuarteto,1
cumbia villera,1
sydney indie,2
circuit,1
indian edm,4
dubsteppe,1
japanese shoegaze,1
malmo indie,5
galante era,1
deep dubstep,2
bristol electronic,2
black metal,1
british black metal,1
gothic black metal,1
symphonic black metal,1
alabama metal,1
irish rebel song,1
cosmic post-rock,1
nordnorsk musikk,1
norske viser,1
norwegian rock,2
norwegian singer-songwriter,2
dabke,3
syrian pop,3
world chill,3
brazilian groove metal,1
brazilian metal,1
brazilian thrash metal,1
deathrash,1
latin metal,2
metal mineiro,1
russian punk rock,1
worcester ma indie,15
new orleans indie,6
bossa nova jazz,1
swedish electronic,3
neo-kraut,1
finnish soul,1
brazilian soul,1
albany ny indie,1
bleep techno,1
lincoln ne indie,1
stl indie,3
chaotic hardcore,2
st petersburg fl indie,1
sevilla indie,1
ballet class,2
british modern classical,10
deep uplifting trance,2
san antonio rap,2
western americana,1
experimental ambient,1
russian pop,5
ukrainian indie,1
ukrainian pop,1
ukrainian rock,1
melodipop,3
kurdish pop,1
junior eurovision,1
moroccan pop,1
kizomba,1
swedish eurodance,2
italian progressive rock,1
pop argentino,1
polish pop,1
russian dance pop,4
hard motivation,1
apostolic worship,1
flamenco urbano,1
pop flamenco,2
musica canaria,2
belgian singer-songwriter,1
boston folk,3
wellington indie,1
psychill,3
psydub,1
crust punk,1
uk post-hardcore,1
rock alternatif francais,1
finnish indie,2
oulu indie,2
irish indie,1
crack rock steady,1
anime piano,1
healing,1
russian modern classical,4
marching band,6
wind symphony,8
brass band,1
brass ensemble,1
british brass band,1
concert band,20
american 21st century classical,2
serialism,2
dutch contemporary classical,1
czech contemporary classical,1
military band,24
swedish pop rap,1
deep flow,2
varmland rock,1
jazz metal,6
swedish metal,6
celtic metal,1
folk metal,1
hurdy-gurdy,1
swiss metal,1
cuatro venezolano,1
musica nicaraguense,1
slovak pop,1
rock urbano mexicano,5
musica aragonesa,6
spanish rock,8
post-punk argentina,1
spanish new wave,3
mexican indie,7
deconstructed club,2
norwegian space disco,1
pops orchestra,5
canadian hardcore,1
atlanta metal,3
louisiana metal,1
southern metal,1
swedish hardcore,2
swedish post-hardcore,2
umea hardcore,2
vegan straight edge,2
boston hardcore,1
mathcore,1
country boogie,1
nueva ola chilena,1
british industrial,3
martial industrial,1
slovenian indie,1
slovenian rock,1
norwegian techno,1
dusseldorf electronic,2
dark electro,3
waiata mo tamariki,4
son cubano,1
funk consciente,1
funk ostentacao,1
funk paulista,1
cancion infantil mexicana,1
windsor on indie,1
dark cabaret,1
british contemporary classical,3
finnish classical,1
buffalo ny metal,1
columbus ohio indie,1
irish experimental electronic,1
colombian indie,1
slack-key guitar,1
lao hip hop,1
dutch dnb,1
freeform hardcore,1
german post-rock,9
munich indie,9
ambient techno,8
new isolationism,8
outsider house,9
bluegrass fiddle,1
jazz violin,1
german boom bap,1
g-house,3
accordion,1
british choir,3
traditional british folk,1
desi trap,4
south dakota indie,1
chalga,1
sacramento hip hop,1
denver rap,1
environmental,1
sound,1
cook islands pop,1
fijian pop,1
cologne hip hop,1
german reggae,1
musique tahitienne,1
polynesian hip hop,1
trap dominicano,4
svensk lovsang,1
classic praise,1
minimal wave,1
icelandic folk,1
canadian comedy,1
xhosa,1
nordnorsk ponk,1
norwegian punk rock,1
morelos indie,5
reggaeton chileno,1
riddim dubstep,1
steelpan,1
british jazz,1
focus beats,1
chillsynth,2
hardvapour,3
mallsoft,2
acousmatic,1
sound art,1
slushwave,1
432hz,3
21st century classical,1
contemporary choir,1
anime score,1
tamil hip hop,1
punta rock,1
khmer,1
khmer hip hop,1
finnish electronic,1
minimal dubstep,1
irish hip hop,1
irish underground rap,1
argentine reggae,1
metal guitar,1
british power metal,1
grunge pop,1
cambridgeshire indie,1
modern jangle pop,1
veracruz indie,1
guadalajara indie,1
latincore,1
mexican pop punk,1
tamaulipas indie,1
hawaiian indie,1
houston indie,1
birmingham indie,1
modern big band,12
waiata maori,2
american romanticism,1
deep chill-out,1
ambient fusion,1
chill out,1
deep chill,3
deep sunset lounge,1
ambient psychill,1
greek house,1
gospel reggae,13
danish metal,2
little rock indie,1
african percussion,2
igbo pop,1
steel guitar,1
chinese hip hop,1
chinese idol pop,1
musica potosina,1
weightless,1
jazz guitar trio,1
