genre,count
mississippi hip hop,38
boston punk,7
boston rock,34
ska punk,104
afrofuturism,67
sleaze rock,13
australian trap,11
australian underground hip hop,6
electro,93
virginia hip hop,57
scandipop,48
oxford indie,49
trop rock,1
lancashire indie,2
aussietronica,68
bakersfield sound,18
country gospel,39
mexican classic rock,11
paisley underground,4
deep dance pop,7
acid rock,47
harlem hip hop,34
australian ska,17
contemporary vocal jazz,57
surf music,28
instrumental grime,19
underground power pop,7
dutch trance,18
shimmer pop,367
nz hip hop,21
contemporary post-bop,35
instrumental funk,23
jazz funk,56
jazz fusion,55
tech house,14
nu skool breaks,11
french shoegaze,15
french synthpop,17
dutch edm,87
old school thrash,34
thrash metal,32
north carolina hip hop,58
italo disco,1
danish electronic,24
native american,6
british alternative rock,11
grebo,5
spacegrunge,5
canadian electronic,62
electroclash,35
dark pop,3
wrestling,39
westcoast flow,2
cali rap,136
christian music,677
shoegaze,64
australian house,33
musical advocacy,3
flute rock,15
space age pop,10
la pop,100
asian american hip hop,12
idol,32
funktronica,9
irish pop,21
miami bass,13
melbourne bounce international,39
fidget house,11
emo,422
muzica crestina,1
dancehall queen,3
uk dancehall,27
didgeridoo,2
canadian trap,41
dfw rap,49
british children's music,1
cartoon,14
calypso,2
brisbane indie,7
operatic pop,35
vaudeville,3
celtic,8
middle earth,8
deep talent show,21
belgian edm,18
houston rap,123
azonto,13
nottingham indie,12
german hard rock,7
german metal,26
german rock,8
uk garage,11
brit funk,5
chamber pop,234
la indie,215
gen z singer-songwriter,6
garage rock revival,42
ohio hip hop,76
rare groove,1
social media pop,100
afropop,39
mbalax,2
world,55
comic,103
art punk,22
synth punk,4
canadian celtic,2
irish pub song,2
australian indigenous hip hop,2
belgian pop,12
french pop,11
variete francaise,1
virgin islands reggae,5
liverpool indie,17
ambient pop,9
canzone napoletana,2
classical tenor,7
italian tenor,5
opera,4
chicano rap,26
latin hip hop,338
texas latin rap,8
bebop,55
hammond organ,8
jazz organ,9
soul jazz,31
louisiana blues,17
new orleans blues,14
new orleans funk,6
new orleans soul,4
afroswing,7
comic metal,3
vocal trance,3
belgian dance,8
cowpunk,3
gregorian dance,4
supergroup,24
dream trance,3
memphis blues,5
shiver pop,66
electra,17
hel,2
australian reggae fusion,22
rock independant francais,11
bass house,35
jamaican ska,2
nyc rap,38
jam band,155
theme,10
dutch pop,26
italian adult pop,14
italo dance,13
canadian latin,16
alternative country,129
chicago indie,67
olympia wa indie,10
australian indie folk,42
athens indie,25
west australian hip hop,1
neo r&b,19
ska jazz,4
rock drums,30
deep underground hip hop,80
kentucky hip hop,32
electrofox,11
classic australian country,6
yodeling,13
reggaeton,419
trap latino,365
urbano latino,15
german pop,32
jazz cover,4
cabaret,8
deep groove house,35
hawaiian,30
ukulele,12
charlottesville indie,15
volksmusik,1
stomp pop,63
rock of gibraltar,1
alabama rap,12
pop violin,7
coventry indie,1
deep new wave,1
romanian pop,8
proto-techno,2
melbourne indie,3
melanesian pop,2
pacific islands pop,76
png pop,1
solomon islands pop,1
trap soul,98
birmingham metal,17
bhangra,6
classic bhangra,4
desi hip hop,12
french indie pop,28
acoustic cover,13
scottish new wave,10
instrumental surf,1
new beat,8
beatboxing,3
african rock,10
south african jazz,2
south african pop,9
south african pop dance,3
vapor twitch,140
deep euro house,20
deep house,72
nz singer-songwriter,5
mod revival,6
classic soundtrack,21
austrian pop,4
ccm,659
christian alternative rock,538
piano blues,17
australian surf rock,3
london rap,1
neo-traditional country,5
beach music,4
dream pop,155
cosmic american,46
german soundtrack,37
nwobhm,21
pop house,6
deep tropical house,55
uk americana,56
banjo,47
australian comedy,3
future garage,25
pop reggaeton,11
uk reggae,21
uk tech house,1
funk pop,2
funk rj,1
pagode baiano,3
pop nacional,6
acid jazz,2
modern funk,10
deep soft rock,1
k-pop,188
k-pop boy group,75
opm,2
italian lounge,2
italo house,7
classic hardstyle,17
euphoric hardstyle,16
jazz guitar,10
michigan indie,5
speed garage,4
polka,1
horrorcore,1
metalcore,373
classic swedish pop,21
poetry,1
writing,1
bouncy house,2
new mexico music,12
swamp pop,9
new jersey underground rap,6
dansktop,2
antiviral pop,42
pixel,1
industrial,47
industrial metal,98
industrial rock,65
transpop,17
nu disco,105
bahamian pop,3
psychedelic soul,31
jazz rap,44
man's orchestra,2
battle rap,21
britcore,4
k-pop girl group,47
melodic dubstep,29
tribal house,2
irish singer-songwriter,55
dutch prog,5
dutch rock,10
hands up,4
skiffle,1
swedish hard rock,3
swedish melodic rock,3
deep eurodance,1
electro swing,25
emo rap,57
instrumental soul,12
cowboy western,15
indie electropop,105
canadian rockabilly,2
traditional rockabilly,2
native american contemporary,3
children's music,1
jungle,2
ragga jungle,1
wu fam,4
atlanta bass,11
super eurobeat,2
ghanaian alternative,1
traditional blues,7
nz folk,5
modern salsa,11
salsa,80
underground hip hop,549
speedrun,27
video game music,39
british comedy,4
music hall,1
moldovan pop,4
nigerian hip hop,5
nigerian pop,17
early synthpop,5
atl trap,50
filmi,11
auckland indie,22
philly indie,95
classic greek pop,1
german show tunes,1
italian trance,1
torch song,27
channel islands indie,6
hyperpop,4
vapor soul,287
collage pop,7
northern irish indie,14
israeli pop,7
israeli rock,2
britpop revival,1
palm desert scene,10
stoner metal,15
stoner rock,21
stutter house,1
brighton indie,31
nashville indie,17
classic progressive house,1
intelligent dance music,63
british indie rock,18
psychobilly,1
canadian folk,25
dunedin sound,1
tape club,3
latin house,4
vogue,1
memphis hip hop,116
mandopop,44
taiwan pop,30
swedish indie pop,60
enka,1
experimental,23
experimental pop,61
classic house,6
adelaide punk,1
ballroom,29
french rock,11
deep disco house,7
hamburg electronic,6
minimal techno,21
swedish jazz,2
rock progressif francais,1
black americana,26
synth prog,1
brooklyn indie,136
deep disco,5
neo-psychedelic,181
swedish country,9
alaska indie,4
screamo,326
alternative pop rock,26
experimental vocal,3
icelandic experimental,4
icelandic pop,6
icelandic singer-songwriter,4
soca,51
vincy soca,1
lo-fi,61
new jersey indie,81
noise pop,181
afrikaans,1
south african country,1
vintage french electronic,1
sheffield indie,33
halloween,14
tennessee hip hop,65
latin viral pop,10
rap latina,21
gabber,1
happy hardcore,6
bboy,5
alternative pop,28
belgian rock,8
karaoke,29
brooklyn drill,2
deep r&b,1
